predict informations:
best epoch: 64
dataset: dataset_rand3

poly_485 x3x2x1 899.8080859899521
poly_238 x2x3x1 899.8179815530777
poly_291 x2x3x1 899.8216620206833
poly_1347 x2x3x1 899.8169053316117
poly_1243 x1x3x2 899.8153131723404
poly_1399 x1x2x3 899.8165002584458
poly_987 x3x1x2 899.8152647733689
poly_224 x1x2x3 899.8204122304917
poly_1377 x1x2x3 899.818215918541
poly_303 x1x3x2 899.8124902963639
poly_1125 x1x2x3 899.8142674684525
poly_36 x3x1x2 899.8173025369645
poly_229 x1x2x3 899.809493136406
poly_682 x2x1x3 899.756680560112
poly_260 x1x3x2 899.7585137605668
poly_1217 x3x2x1 899.7657225847245
poly_415 x2x3x1 899.8222444772721
poly_1582 x2x1x3 899.814297747612
poly_672 x1x3x2 899.8249552965165
poly_1578 x3x2x1 899.8229656934739
poly_1583 x2x1x3 899.8187397241593
poly_372 x2x1x3 899.8170283555985
poly_814 x3x1x2 899.8185551881791
poly_1431 x1x3x2 899.7661033391953
poly_1426 x3x1x2 899.8157754659653
poly_1672 x2x3x1 899.8239255666733
poly_1732 x3x1x2 899.819838833809
poly_1675 x1x2x3 899.8169713735581
poly_1531 x1x2x3 899.8204739809037
poly_966 x3x2x1 899.8177135705948
poly_188 x2x1x3 899.7606180429459
poly_1960 x1x3x2 899.7622056722641
poly_1138 x2x1x3 899.8142288446427
poly_1692 x1x2x3 899.8138674020768
poly_1267 x3x1x2 899.8200622320176
poly_1121 x1x3x2 899.822202038765
poly_584 x3x1x2 899.8186734437943
poly_1905 x2x3x1 899.8221891641617
poly_40 x2x3x1 899.8175013780594
poly_1903 x1x3x2 899.8110838651658
poly_6 x2x1x3 899.8269429087638
poly_1162 x2x1x3 899.8137497782707
poly_79 x1x2x3 899.8185357928276
poly_432 x3x1x2 899.8149332880973
poly_1627 x2x1x3 899.8271634459495
poly_1689 x2x1x3 899.7599029421806
poly_1479 x1x2x3 899.8256738066673
poly_992 x2x1x3 899.8073315501213
poly_616 x3x2x1 899.8249215960502
poly_1512 x2x3x1 899.8266370177269
poly_926 x1x3x2 899.8188669562339
poly_1107 x1x3x2 899.8158738493919
poly_1091 x1x2x3 899.8258519053459
poly_5 x2x1x3 899.8244168639183
poly_980 x1x3x2 899.8194491744041
poly_1598 x1x2x3 899.8292710661888
poly_882 x1x2x3 899.8266727805137
poly_492 x3x2x1 899.8253569483757
poly_902 x2x1x3 899.7694191813468
poly_180 x2x3x1 899.8206059813499
poly_503 x2x1x3 899.8246352553367
poly_1334 x2x3x1 899.8252036452293
poly_685 x2x3x1 899.7203514456749
poly_541 x2x1x3 899.773309457302
poly_628 x2x3x1 899.8288333296775
poly_1613 x2x1x3 899.8168389678001
poly_953 x1x2x3 899.8185319781303
poly_736 x3x2x1 899.821138370037
poly_727 x1x3x2 899.8205580592155
poly_978 x3x1x2 899.7744145274162
poly_1498 x2x3x1 899.8205788016319
poly_1644 x3x2x1 899.7759363532066
poly_1285 x1x2x3 899.8232338309288
poly_1119 x3x2x1 899.8200695395469
poly_1172 x1x2x3 899.8241276621818
poly_521 x1x3x2 899.8193228125572
poly_203 x1x2x3 899.829119670391
poly_1071 x2x1x3 899.8235249400138
poly_1880 x1x2x3 899.814909684658
poly_873 x1x2x3 899.7758231043815
poly_215 x1x3x2 899.8162712156773
poly_653 x1x2x3 899.8240896761417
poly_177 x2x1x3 899.7771410048008
poly_1312 x3x2x1 899.8211504518986
poly_1272 x3x2x1 899.823477178812
poly_1477 x1x3x2 899.7662602961063
poly_1133 x3x2x1 899.8166884481907
poly_688 x2x1x3 899.8198370039463
poly_1192 x3x1x2 899.8261603415012
poly_371 x1x2x3 899.8206848204136
poly_764 x1x2x3 899.8192357122898
poly_510 x1x2x3 899.8234519064426
poly_1140 x3x2x1 899.826783567667
poly_1348 x3x1x2 899.8233307898045
poly_113 x3x2x1 899.8293775618076
poly_1885 x1x3x2 899.8055130541325
poly_826 x1x2x3 899.7681402266026
poly_1027 x1x3x2 899.8169898092747
poly_1055 x1x3x2 899.8277525007725
poly_1926 x3x2x1 899.81165137887
poly_375 x1x2x3 899.8233472406864
poly_524 x3x1x2 899.7695831358433
poly_1090 x1x2x3 899.8298930227757
poly_797 x3x2x1 899.8278426229954
poly_1409 x1x3x2 899.7669114172459
poly_1074 x3x2x1 899.828959852457
poly_1202 x2x1x3 899.829017072916
poly_1910 x1x3x2 899.8297919332981
poly_1504 x3x2x1 899.8118368685246
poly_692 x1x2x3 899.8158530294895
poly_220 x2x1x3 899.8286720812321
poly_883 x2x1x3 899.8267692625523
poly_1415 x1x3x2 899.7746056616306
poly_1068 x1x3x2 899.8110527098179
poly_1103 x1x3x2 899.8224686682224
poly_164 x2x3x1 899.8241595327854
poly_1630 x3x2x1 899.8228227198124
poly_684 x1x3x2 899.8263668119907
poly_1846 x1x3x2 899.8203100264072
poly_1838 x1x3x2 899.8179937899113
poly_1823 x3x2x1 899.8226065397263
poly_464 x3x2x1 899.7751660108567
poly_1503 x2x3x1 899.813546872139
poly_1552 x1x3x2 899.8155109643936
poly_314 x3x2x1 899.822908616066
poly_758 x3x1x2 899.8126804590225
poly_1210 x3x2x1 899.7689907312393
poly_849 x1x3x2 899.828058218956
poly_1959 x1x2x3 899.8262617349625
poly_1729 x3x2x1 899.8232486009598
poly_1163 x1x2x3 899.8188028097153
poly_1740 x2x1x3 899.8248190641403
poly_1238 x2x1x3 899.8094660997391
poly_481 x2x1x3 899.8170647382736
poly_369 x1x2x3 899.8264989614487
poly_970 x2x3x1 899.77389523983
poly_635 x2x1x3 899.829598402977
poly_298 x2x1x3 899.818670964241
poly_1840 x3x2x1 899.8167485952378
poly_965 x3x2x1 899.813174700737
poly_752 x2x1x3 899.8178589105606
poly_976 x2x1x3 899.7744197607041
poly_1716 x2x3x1 899.8284644842148
poly_242 x1x3x2 899.8172375917435
poly_969 x1x2x3 899.8183972597122
poly_850 x3x1x2 899.8127023935318
poly_1927 x3x2x1 899.7742740869522
poly_1164 x1x2x3 899.8151883840561
poly_1929 x2x1x3 899.8233818769455
poly_1417 x1x3x2 899.8167538404465
poly_294 x1x2x3 899.8144004106522
poly_1825 x1x3x2 899.8241495847702
poly_655 x1x3x2 899.8160149812699
poly_1069 x3x1x2 899.8262262105942
poly_257 x2x1x3 899.8154797315598
poly_773 x1x2x3 899.7705244779587
poly_1574 x1x2x3 899.8274347543717
poly_1 x1x3x2 899.822257733345
poly_266 x3x1x2 899.8207666635514
poly_254 x3x1x2 899.8249039411545
poly_94 x1x3x2 899.8286120176315
poly_935 x1x2x3 899.8295559167861
poly_1475 x1x2x3 899.8175863504409
poly_1151 x2x1x3 899.8138789415359
poly_1108 x2x1x3 899.8199350118637
poly_898 x3x1x2 899.8237373113632
poly_666 x3x1x2 899.7709619283676
poly_1663 x3x1x2 899.8174061059951
poly_1038 x3x2x1 899.8222183465957
poly_1931 x2x1x3 899.8213133096694
poly_696 x1x2x3 899.8160621404647
poly_1476 x1x2x3 899.8101429224014
poly_49 x1x2x3 899.824360537529
poly_465 x1x2x3 899.7720057249069
poly_621 x1x3x2 899.8274673700332
poly_570 x2x3x1 899.8250507593154
poly_1391 x1x2x3 899.7782019853591
poly_1514 x1x2x3 899.8228563547134
